types,counts,total_unique,probs
Woody,86,4256,4.424143683840404e-05
Fidel,85,4256,4.372700152632957e-05
Joaquin,85,4256,4.372700152632957e-05
Mason,85,4256,4.372700152632957e-05
Lyman,84,4256,4.321256621425511e-05
Xavier,84,4256,4.321256621425511e-05
Beverly,84,4256,4.321256621425511e-05
Wardell,84,4256,4.321256621425511e-05
Bruno,83,4256,4.269813090218064e-05
Burl,83,4256,4.269813090218064e-05
Clint,83,4256,4.269813090218064e-05
Elroy,83,4256,4.269813090218064e-05
Jordan,83,4256,4.269813090218064e-05
Olin,83,4256,4.269813090218064e-05
Tyler,83,4256,4.269813090218064e-05
Carlo,82,4256,4.218369559010618e-05
Coleman,82,4256,4.218369559010618e-05
Hans,82,4256,4.218369559010618e-05
Hugo,82,4256,4.218369559010618e-05
Leonardo,82,4256,4.218369559010618e-05
